iter	Passed	Remaining
0	27	111391
1	46	92039
2	54	72825
3	66	66070
4	80	64539
5	100	66856
6	110	63247
7	122	60983
8	135	59883
9	147	58787
10	158	57560
11	170	56545
12	180	55228
13	190	54257
14	200	53280
15	213	53171
16	231	54311
17	242	53602
18	256	53784
19	271	54116
20	279	52915
21	298	53944
22	305	52872
23	314	52069
24	321	51087
25	329	50300
26	336	49468
27	344	48858
28	353	48352
29	361	47839
30	367	47003
31	374	46380
32	381	45848
33	387	45233
34	394	44643
35	399	44040
36	405	43471
37	411	42926
38	419	42602
39	426	42191
40	431	41657
41	437	41233
42	442	40735
43	450	40471
44	456	40109
45	462	39767
46	469	39471
47	477	39308
48	485	39172
49	493	38957
50	507	39272
51	516	39227
52	524	39095
53	536	39218
54	544	39087
55	553	38962
56	560	38794
57	568	38632
58	576	38524
59	587	38588
60	594	38401
61	605	38488
62	616	38502
63	622	38288
64	629	38098
65	635	37879
66	641	37674
67	648	37502
68	656	37406
69	662	37206
70	669	37052
71	678	37002
72	686	36952
73	694	36820
74	700	36680
75	708	36582
76	717	36577
77	726	36521
78	736	36532
79	745	36515
80	753	36452
81	761	36388
82	770	36350
83	775	36153
84	783	36077
85	789	35916
86	795	35770
87	803	35702
88	809	35584
89	815	35444
90	820	35265
91	827	35155
92	833	35023
93	840	34910
94	849	34912
95	855	34786
96	861	34671
97	867	34532
98	877	34580
99	883	34446
100	889	34326
101	895	34240
102	900	34082
103	906	33971
104	912	33851
105	919	33784
106	928	33765
107	940	33904
108	948	33856
109	956	33835
110	970	33996
111	979	34006
112	986	33939
113	995	33920
114	1003	33893
115	1011	33851
116	1018	33789
117	1026	33774
118	1035	33777
119	1044	33774
120	1052	33745
121	1061	33726
122	1067	33662
123	1080	33782
124	1087	33697
125	1094	33648
126	1102	33609
127	1109	33557
128	1116	33511
129	1124	33462
130	1131	33413
131	1138	33358
132	1145	33314
133	1153	33278
134	1161	33246
135	1168	33186
136	1174	33121
137	1181	33077
138	1193	33143
139	1201	33140
140	1211	33144
141	1224	33281
142	1241	33498
143	1255	33632
144	1266	33680
145	1273	33610
146	1282	33603
147	1288	33548
148	1296	33496
149	1303	33451
150	1309	33378
151	1316	33319
152	1322	33256
153	1330	33231
154	1337	33179
155	1344	33120
156	1349	33041
157	1357	33016
158	1364	32952
159	1371	32907
160	1377	32847
161	1384	32793
162	1391	32757
163	1400	32746
164	1408	32731
165	1418	32762
166	1431	32864
167	1443	32922
168	1452	32927
169	1459	32880
170	1466	32848
171	1473	32790
172	1480	32750
173	1487	32702
174	1495	32695
175	1503	32658
176	1510	32622
177	1517	32582
178	1525	32557
179	1532	32521
180	1540	32510
181	1547	32462
182	1556	32475
183	1568	32520
184	1577	32522
185	1584	32482
186	1591	32443
187	1600	32443
188	1607	32406
189	1614	32381
190	1621	32331
191	1630	32334
192	1639	32348
193	1645	32291
194	1651	32222
195	1657	32172
196	1663	32115
197	1669	32061
198	1678	32056
199	1687	32063
200	1694	32022
201	1700	31978
202	1706	31915
203	1712	31872
204	1720	31852
205	1726	31792
206	1732	31739
207	1737	31680
208	1744	31636
209	1749	31578
210	1756	31539
211	1763	31518
212	1770	31480
213	1776	31430
214	1782	31384
215	1789	31343
216	1795	31304
217	1801	31245
218	1806	31189
219	1812	31140
220	1818	31099
221	1824	31043
222	1831	31023
223	1837	30982
224	1843	30928
225	1849	30878
226	1855	30835
227	1860	30786
228	1866	30732
229	1872	30696
230	1878	30643
231	1883	30594
232	1890	30569
233	1897	30532
234	1904	30509
235	1909	30461
236	1915	30410
237	1922	30384
238	1941	30559
239	1951	30574
240	1958	30550
241	1966	30540
242	1972	30495
243	1978	30450
244	1983	30404
245	1989	30354
246	1995	30316
247	2001	30276
248	2009	30271
249	2015	30238
250	2021	30195
251	2027	30161
252	2033	30117
253	2039	30081
254	2046	30051
255	2053	30032
256	2060	30005
257	2065	29963
258	2070	29913
259	2077	29879
260	2082	29839
261	2088	29798
262	2094	29759
263	2100	29726
264	2106	29688
265	2114	29683
266	2121	29656
267	2127	29622
268	2133	29585
269	2138	29547
270	2144	29506
271	2150	29468
272	2156	29444
273	2163	29425
274	2169	29387
275	2175	29358
276	2181	29318
277	2187	29287
278	2193	29256
279	2199	29224
280	2205	29191
281	2211	29159
282	2217	29129
283	2223	29089
284	2228	29050
285	2233	29008
286	2239	28970
287	2245	28943
288	2251	28914
289	2256	28872
290	2262	28839
291	2267	28798
292	2272	28755
293	2278	28716
294	2283	28685
295	2289	28652
296	2295	28614
297	2300	28575
298	2305	28540
299	2311	28510
300	2317	28475
301	2322	28443
302	2327	28402
303	2333	28372
304	2341	28363
305	2347	28337
306	2355	28331
307	2363	28330
308	2371	28324
309	2378	28307
310	2386	28310
311	2393	28287
312	2398	28257
313	2405	28232
314	2410	28204
315	2418	28190
316	2424	28171
317	2431	28151
318	2438	28133
319	2444	28109
320	2450	28079
321	2455	28050
322	2461	28025
323	2467	27998
324	2473	27967
325	2479	27943
326	2484	27912
327	2490	27882
328	2495	27846
329	2501	27814
330	2506	27780
331	2511	27750
332	2517	27719
333	2522	27692
334	2528	27662
335	2533	27632
336	2539	27603
337	2544	27570
338	2549	27535
339	2555	27512
340	2561	27486
341	2567	27460
342	2573	27435
343	2579	27416
344	2585	27395
345	2591	27366
346	2596	27334
347	2601	27303
348	2607	27278
349	2612	27249
350	2618	27220
351	2625	27213
352	2632	27192
353	2637	27161
354	2643	27144
355	2650	27134
356	2657	27121
357	2665	27114
358	2672	27108
359	2678	27079
360	2683	27054
361	2689	27025
362	2694	26999
363	2699	26966
364	2705	26941
365	2711	26923
366	2717	26903
367	2724	26891
368	2730	26872
369	2737	26859
370	2745	26855
371	2751	26831
372	2756	26805
373	2762	26786
374	2768	26758
375	2773	26736
376	2782	26740
377	2788	26720
378	2794	26694
379	2804	26714
380	2812	26718
381	2819	26700
382	2825	26686
383	2831	26664
384	2837	26642
385	2843	26624
386	2850	26608
387	2855	26586
388	2861	26562
389	2866	26537
390	2874	26528
391	2880	26509
392	2886	26488
393	2893	26478
394	2899	26464
395	2905	26446
396	2912	26433
397	2920	26432
398	2952	26645
399	2960	26640
400	2966	26626
401	2972	26602
